Wall time,Step,Value
1618349792.0106618,1,1.057421326637268
1618349803.9548016,11,0.2257494330406189
1618349815.8890119,21,0.108095183968544
1618349830.0683181,31,0.09435173124074936
1618349841.2735124,41,0.08924303948879242
1618349853.1511474,51,0.059609364718198776
1618349864.5659344,61,0.07892334461212158
1618349876.2214308,71,0.06345155835151672
1618349887.5161545,81,0.058065325021743774
1618349898.6161332,91,0.05643082037568092
1618349910.5221775,101,0.11119604110717773
1618349921.9546602,111,0.11831069737672806
1618349933.525148,121,0.07604547590017319
1618349944.7536135,131,0.11692145466804504
1618349956.1867857,141,0.08642341941595078
1618349968.3591223,151,0.07694286108016968
1618349981.0356202,161,0.10782740265130997
1618349993.8148727,171,0.09583362936973572
1618350006.5166945,181,0.0824824646115303
1618350019.1863785,191,0.05319855734705925
1618350031.6672983,201,0.05891532450914383
1618350048.4060025,211,0.05683807283639908
1618350066.8757968,221,0.13219982385635376
1618350082.8780549,231,0.12696495652198792
1618350098.1569667,241,0.09705804288387299
